rid,road_level,ori,des,lnglat_seq,parents,children
0VB2Q07KGD00VAVC07KG700,44000,0VB2Q07KGD0,0VAVC07KG70,"102.716172,25.038105;102.715891,25.038095;102.715436,25.038084;102.715184,25.038073;102.71499,25.038058;102.714799,25.038044;102.714629,25.038024;102.714438,25.037992;102.714145,25.037917;102.713027,25.037544;102.710881,25.036779;102.710516,25.036667;102.71026,25.036604;102.709975,25.036557;102.709663,25.036526;102.709225,25.036506;102.709083,25.036504;102.708981,25.036504;102.708622,25.036505;102.708425,25.036522;102.708134,25.03657;102.707894,25.036623;102.707554,25.03673;102.707459,25.03676;102.70719,25.036845;102.70686,25.036957;102.705775,25.03733;102.705295,25.03753","['0VAVC07KG700VAV507KG100', '0VAVC07KG700VAUD07KH200', '0VAVC07KG700VAVE07KGI00', '0VAVC07KG700VB2D07KGC00']","['0VB2N07KH200VB2Q07KGD00', '0VB2T07KFO00VB2Q07KGD00', '0VB3N07KGD00VB2Q07KGD00', '0VB3K07KGD00VB2Q07KGD00', '0VB2D07KGC00VB2Q07KGD00']"
0VAV807KG200VAVC07KG700,45000,,0VAVC07KG70,"102.704827,25.037062;102.704953,25.037172;102.705218,25.037429","['0VAVC07KG700VAV507KG100', '0VAVC07KG700VAUD07KH200', '0VAVC07KG700VAVE07KGI00', '0VAVC07KG700VB2D07KGC00']",[]
0VB8H07KG600VB8H07KGF00,44000,,0VB8H07KGF0,"102.734532,25.037386;102.734534,25.037571;102.734533,25.038298","['0VB8H07KGF00VB7U07KI700', '0VB8H07KGF00VB8S07KGF00', '0VB8H07KGF00VB8F07KFI10', '0VB8H07KGF00VB7H07KGG00']",[]
0VB5N07KGE00VB5N07KHV00,44000,0VB5N07KGE0,0VB5N07KHV0,"102.725588,25.038262;102.725579,25.039174;102.725579,25.039526;102.725577,25.039939;102.725577,25.039991;102.725574,25.040331;102.725574,25.040385;102.725569,25.041159;102.725562,25.041672;102.725559,25.041847;102.725566,25.042427;102.725559,25.043052","['0VB5N07KHV00VB6107KI000', '0VB5N07KHV00VB5N07KH000', '0VB5N07KHV00VB4N07KHR00', '0VB5N07KHV00VB5O07KJ400', '0VB5N07KHV00VB6D07KI100']","['0VB6D07KGF00VB5N07KGE00', '0VB4V07KGD00VB5N07KGE00', '0VB5O07KG200VB5N07KGE00', '0VB5N07KH000VB5N07KGE00']"
0VBBB07KFL00VBAQ07KFU00,44000,,0VBAQ07KFU0,"102.743493,25.035774;102.74306,25.036007;102.742514,25.036287;102.742347,25.036371;102.741844,25.036618","['0VBAQ07KFU00VBBH07KGC00', '0VBAQ07KFU00VBA007KGG00', '0VBAQ07KFU00VBAN07KFS00', '0VBAQ07KFU00VBBD07KFJ00']",[]
0VB6B07KK400VB5O07KJF00,44000,0VB6B07KK40,,"102.727394,25.049992;102.727178,25.049851;102.727136,25.049818;102.727092,25.049783;102.726018,25.048923;102.725973,25.048882;102.725951,25.048863;102.725901,25.048808;102.725862,25.048764;102.725807,25.048695;102.725711,25.048544;102.725685,25.048494;102.725648,25.048421;102.725632,25.04836;102.725616,25.048293;102.725605,25.048221;102.725587,25.048031",[],"['0VB5L07KKN00VB6B07KK400', '0VB7E07KL300VB6B07KK400', '0VB5O07KJ400VB6B07KK400', '0VB7407KJC00VB6B07KK400']"
0VB4Q07KGE00VB4P07KGF00,45000,0VB4Q07KGE0,,"102.722562,25.03823;102.722551,25.038334",[],"['0VB4P07KGF00VB4Q07KGE00', '0VB4Q07KGG00VB4Q07KGE00', '0VB5307KGE00VB4Q07KGE00']"
0VB4S07KEV00VB5G07KF000,44000,0VB4S07KEV0,,"102.722803,25.033528;102.722989,25.033526;102.723261,25.033525;102.724767,25.033542",[],"['0VB4S07KET00VB4S07KEV00', '0VB3V07KF000VB4S07KEV00', '0VB4607KF000VB4S07KEV00']"
0VB5N07KHV00VB6107KI000,44000,0VB5N07KHV0,,"102.725559,25.043052;102.725636,25.043057;102.726465,25.043151;102.726533,25.043157",[],"['0VB5307KHS00VB5N07KHV00', '0VB5N07KGE00VB5N07KHV00', '0VB6E07KI100VB5N07KHV00', '0VB5O07KJ400VB5N07KHV00', '0VB6107KI000VB5N07KHV00', '0VB4R07KHQ00VB5N07KHV00', '0VB6D07KI110VB5N07KHV00']"
0VBA107KGF00VBAQ07KFU00,44000,,0VBAQ07KFU0,"102.739268,25.038296;102.739407,25.038253;102.739574,25.03817;102.739716,25.038069;102.739948,25.03787;102.740025,25.037792;102.740177,25.037649;102.740198,25.037629;102.740229,25.037607;102.740309,25.037551;102.740435,25.037483;102.740656,25.037384;102.74097,25.037245;102.741118,25.037162;102.741404,25.036976;102.741484,25.03692;102.741616,25.036821;102.741693,25.036749;102.741809,25.036631","['0VBAQ07KFU00VBBH07KGC00', '0VBAQ07KFU00VBA007KGG00', '0VBAQ07KFU00VBAN07KFS00', '0VBAQ07KFU00VBBD07KFJ00']",[]
